Duración,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,Respondidas,Puntaje,Nota,Certamen 1
0:20:00,1,0,0,1,0,1,0,0,0,1,0,0,12,4,33.33,74
0:21:00,0,0,0,0,1,0,0,1,1,1,0,0,12,4,33.33,73
0:22:00,0,0,0,0,0,1,0,1,1,1,0,0,12,4,33.33,32
0:23:00,0,0,0,0,0,0,0,1,0,1,1,1,12,4,33.33,7
0:23:00,0,0,0,0,0,0,1,1,1,0,1,0,12,4,33.33,20
0:25:00,0,1,0,0,0,0,1,0,1,1,0,0,12,4,33.33,37
0:26:00,1,1,0,0,1,0,0,0,1,0,0,0,12,4,33.33,74
0:29:00,1,0,1,0,1,0,1,0,0,0,0,0,12,4,33.33,21
0:29:00,1,0,0,0,0,0,1,0,0,1,0,1,12,4,33.33,71
0:30:00,0,0,0,0,1,0,1,1,0,0,1,0,12,4,33.33,44
0:31:00,1,0,0,0,0,0,1,1,0,0,1,0,12,4,33.33,52
0:31:00,0,0,0,0,0,1,0,1,1,0,1,0,12,4,33.33,
0:32:00,1,1,0,0,0,0,1,0,1,0,0,0,12,4,33.33,25
0:32:00,0,1,1,0,1,0,1,0,0,0,0,0,12,4,33.33,9
0:32:00,0,0,0,0,1,0,0,1,0,1,1,0,12,4,33.33,24
0:32:00,1,0,0,0,0,0,1,1,1,0,0,0,12,4,33.33,
0:33:00,1,0,0,0,0,0,1,1,0,1,0,0,12,4,33.33,14
0:33:00,0,1,0,0,1,0,1,0,0,0,1,0,12,4,33.33,67
0:33:00,0,1,0,0,0,0,1,0,1,1,0,0,12,4,33.33,
0:34:00,1,0,1,0,0,0,1,0,0,0,1,0,12,4,33.33,
0:34:00,1,0,0,0,0,0,1,0,1,1,0,0,12,4,33.33,57
0:35:00,0,0,0,1,0,0,1,1,0,0,1,0,12,4,33.33,8
0:35:00,0,0,0,0,1,0,0,0,0,1,1,1,12,4,33.33,17
0:35:00,0,0,1,0,0,0,1,1,0,1,0,0,12,4,33.33,24
0:36:00,1,0,0,1,0,0,0,0,1,0,1,0,12,4,33.33,50
0:36:00,0,0,1,0,1,0,1,0,0,1,0,0,12,4,33.33,80
0:36:00,0,0,0,0,0,0,1,1,1,0,1,0,12,4,33.33,100
0:36:00,0,0,0,0,0,1,1,0,1,1,0,0,12,4,33.33,92
0:37:00,1,0,0,0,0,0,1,0,0,1,1,0,12,4,33.33,25
0:37:00,0,0,0,0,1,0,0,1,0,1,1,0,12,4,33.33,25
0:37:00,0,0,0,0,1,0,1,0,1,1,0,0,12,4,33.33,
0:37:00,0,0,0,0,0,0,1,0,0,1,1,1,12,4,33.33,35
0:37:00,0,0,0,0,0,1,1,0,0,0,1,1,12,4,33.33,22
0:38:00,1,0,0,0,0,0,0,1,0,1,1,0,12,4,33.33,17
0:38:00,0,0,0,0,0,0,1,1,0,1,0,1,12,4,33.33,30
0:38:00,1,0,0,0,0,1,0,1,0,0,0,1,12,4,33.33,20
0:39:00,0,0,1,1,0,1,0,0,0,1,0,0,12,4,33.33,80
0:40:00,0,1,0,0,0,0,1,1,0,1,0,0,12,4,33.33,82
0:40:00,1,1,0,0,0,0,1,0,0,1,0,0,12,4,33.33,31
0:41:00,0,0,1,0,0,0,0,1,1,1,0,0,12,4,33.33,50
0:41:00,0,0,1,0,0,0,0,1,0,1,1,0,12,4,33.33,27
0:41:00,1,0,0,0,0,0,0,1,0,1,1,0,12,4,33.33,62
0:41:00,1,0,1,0,0,0,0,1,0,1,0,0,12,4,33.33,85
0:42:00,0,0,1,0,0,0,1,1,0,0,0,1,12,4,33.33,14
0:42:00,0,0,1,0,0,0,0,1,0,0,1,1,12,4,33.33,25
0:42:00,1,0,0,0,0,0,1,0,0,1,1,0,12,4,33.33,46
0:43:00,0,0,,,0,1,1,0,,,1,1,8,4,33.33,64
0:43:00,1,0,0,0,0,0,1,1,0,1,0,0,12,4,33.33,49
0:43:00,0,0,0,0,1,0,1,0,1,0,1,0,12,4,33.33,38
0:44:00,0,0,0,0,1,0,1,1,0,1,0,0,12,4,33.33,98
0:44:00,0,0,0,0,0,1,1,0,1,0,1,0,12,4,33.33,20
0:45:00,0,0,0,0,0,1,1,0,0,1,1,0,12,4,33.33,23
0:45:00,1,0,0,0,0,0,1,1,0,0,0,1,12,4,33.33,49
0:46:00,0,1,0,0,1,0,1,0,0,1,0,0,12,4,33.33,14
0:47:00,0,1,0,0,0,0,1,0,0,0,1,1,12,4,33.33,4
0:47:00,0,0,1,1,0,1,0,0,0,0,1,0,12,4,33.33,69
0:52:00,1,0,0,0,0,0,0,0,0,1,1,1,12,4,33.33,
0:53:00,0,0,0,0,1,0,1,0,1,0,1,0,12,4,33.33,30
0:54:00,0,0,1,0,0,0,1,1,0,0,1,0,12,4,33.33,93
1:00:00,0,0,0,0,1,0,1,1,0,0,0,1,12,4,33.33,11
0:18:00,1,0,0,0,0,1,1,1,0,1,0,0,12,5,41.67,17
0:19:00,0,1,0,0,0,0,1,0,1,1,0,1,12,5,41.67,52
0:19:00,1,0,0,0,1,0,1,1,0,0,0,1,12,5,41.67,
0:23:00,1,0,0,1,0,0,1,0,0,0,1,1,12,5,41.67,19
0:24:00,1,1,0,0,0,1,,0,0,1,1,0,11,5,41.67,33
0:24:00,1,0,0,0,1,1,1,0,0,1,0,0,12,5,41.67,72
