Duración,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,Respondidas,Puntaje,Nota,Puntaje Ponderado,Puntaje NEM,Puntaje Ranking,Puntaje Lenguaje,Puntaje Matemática M1,Puntaje Matemática M2,Certamen 1,Abstracción,Descomposición,Patrones,Algoritmos,Aprobación C1,Nota Final,Aprobación Asignatura
0:53:00,0,1,0,0,0,0,1,0,0,0,0,0,12,2,16.67,661.6,799,808,801,499,313,12,0,0,33.33333333,33.33333333,0,34,0
0:39:00,0,0,0,0,0,0,0,1,0,1,0,,11,2,16.67,604.6,871,938,536,424,351,,0,66.66666667,0,0,0,17,0
0:45:00,0,1,0,0,0,0,1,0,0,0,0,,11,2,16.67,601.8,814,879,536,467,428,,0,0,33.33333333,33.33333333,0,0,0
1:05:00,0,1,0,0,0,0,1,0,0,0,,,10,2,16.67,743,856,878,701,695,530,60,0,0,33.33333333,33.33333333,1,82,1
0:36:00,0,1,,0,0,0,1,0,0,,,,8,2,16.67,651.4,708,709,730,631,485,,0,0,33.33333333,33.33333333,0,31,0
0:28:00,0,0,0,1,0,0,1,0,,,,,8,2,16.67,530.9,643,647,536,480,369,1,0,0,33.33333333,33.33333333,0,3,0
0:29:00,0,0,0,0,1,0,1,0,,,,,8,2,16.67,602.3,699,701,692,554,444,25,33.33333333,0,33.33333333,0,0,36,0
0:42:00,,,0,,1,0,0,1,0,0,,0,8,2,16.67,642.4,793,811,596,631,428,,33.33333333,33.33333333,0,0,0,60,1
0:29:00,0,0,1,0,0,1,0,,,,,,7,2,16.67,639.1,794,935,536,539,413,19,0,0,33.33333333,33.33333333,0,10,0
0:29:00,1,0,0,0,0,1,0,,,,,,7,2,16.67,554,652,652,551,539,332,1,33.33333333,0,33.33333333,0,0,1,0
0:27:00,0,0,1,0,0,1,,,,,,,6,2,16.67,772.3,808,810,761,790,270,41,0,0,33.33333333,33.33333333,0,39,0
0:35:00,0,0,1,0,0,,1,,,,,,6,2,16.67,736.2,928,954,775,645,444,,0,0,33.33333333,33.33333333,0,33,0
0:42:00,0,0,0,,0,1,1,,,,,,6,2,16.67,634.3,757,832,582,579,399,,0,0,66.66666667,0,0,1,0
0:42:00,0,0,1,,0,0,1,,,,,,6,2,16.67,648.8,699,701,745,659,399,,0,0,33.33333333,33.33333333,0,33,0
0:49:00,0,1,1,0,0,,,,,,,,5,2,16.67,0,766,792,663,499,369,0,0,0,0,66.66666667,0,11,0
